,data,struct,K,# nodes,# edges,dsk time (s),sort time (s),build time (s),W (MB),L (MB),LCS (MB),# queries,backward mean time (ns),forward  mean time (ns),lastchar mean time (ns),shorter1 mean (ns),shorter2 (ns) mean,shorter4 mean (ns),shorter8 mean (ns),longer1 mean (ns),longer2 mean (ns),longer4 mean (ns),longer8 mean (ns),maxlen mean (ns),maxlen* mean (ns)
0,chrom14,standard,56,1624442199,1651477269,3539.51,8854.179,314.768,385.678,28.2605,,20000,63765.2,42394.5,0.01315,,,,,,,,,,
1,chrom14,standard,56,1624442199,1651477269,3562.11,8942.94,305.773,385.678,28.2605,,20000,54398.4,45901.4,0.0148,,,,,,,,,,
2,chrom14,standard,56,1624442199,1651477269,3480.14,8854.179,333.982,385.678,28.2605,,20000,47398.3,47822.1,0.0184,,,,,,,,,,
3,chrom14,hyper,56,1624442199,1651477269,3539.51,10424.945,1147.62,385.678,28.2605,413.939,20000,262123,86533.5,0.01615,73432.3,54025.3,68433.2,25110900,143523,263464,1393730,19594900,33783.1,7536.9
4,chrom14,hyper,56,1624442199,1651477269,3562.11,12561.588,1164.68,385.678,28.2605,413.939,20000,247955,67985.7,0.00585,46579.5,42681.5,42155.8,33838800,118944,198328,1228210,22672800,36167.4,7787.47
5,chrom14,hyper,56,1624442199,1651477269,3480.14,10065.171,1127.508,385.678,28.2605,413.939,20000,399565,109567,0.01295,60977.7,45050.4,44183.7,20800000,79895.6,148336,1291690,19109400,35923.5,7391.14
6,ecoli,standard,28,528581516,548545502,1918.7,1042.53,119.152,142.878,19.774,,20000,39382.8,26259.2,0.00705,,,,,,,,,,
7,ecoli,standard,28,528581516,548545502,1715.37,1024.517,113.101,142.878,19.774,,20000,45493.2,33644.8,0.012,,,,,,,,,,
8,ecoli,standard,28,528581516,548545502,1662.83,995.531,115.102,142.878,19.774,,20000,36270.9,24944.5,0.0078,,,,,,,,,,
9,ecoli,hyper,28,528581516,548545502,1918.7,1155.466,355.365,142.878,19.774,257.483,20000,258296,61722.2,0.00985,37200.1,35339.6,40234.3,13201600,118504,200041,1818300,18777400,29103.3,6621.51
10,ecoli,hyper,28,528581516,548545502,1715.37,1158.495,342.971,142.878,19.774,257.483,20000,288266,94813.1,0.0105,56236.6,38296.3,57916.5,11967600,83955.7,197665,1844330,17692100,37294.6,9468.64
11,ecoli,hyper,28,528581516,548545502,1662.83,1143.612,334.325,142.878,19.774,257.483,20000,364676,84824.2,0.01655,53210.5,36480.4,39256.1,13054500,84798.4,251331,1850200,17723400,29174.2,6660.12
